加入			かにゅう			その会に加入させてもらえなかった
再発			さいはつ			そういう事故は再発する恐れがあります
兎角			とかく				涙は兎角に止まなかった　（止む　個人の力では扱いかねるものに用いられるように思います。)(止まる　赤信号で止まりましたか)
>兼ねる			かねる				unable to do sth こういう事情ですから、残念ながら、せっかくのご招待をおうけいたしかねるのです
喋る			しゃべる			黙っていたことを後悔した人より、しゃべったことを後悔した人が多い。
>掌				たなごころ			おいおい当城を掌にし
取り混ぜる		とりまぜる			彼らはトマトを大小取り混ぜて売った
>従って			したがって			according to;先生の忠告に従って行動したほうがよい
>志				こころざし			何事をするにも志が大切
貫禄			かんろく			dignity 君は課長としての貫禄がない
欠席			けっせき			無断で欠席すべきではない
困難			こんなん			問題はいかにして我々がげんざいの困難を切り抜けるかである
事情			じじょう			彼女に会うべきかどうかは私自身が決める事情だ
>伺う			うかがう			call on;pay a visit;wait on;ask;hear;be told; 本日は伺うことができませんでした。
>刃				は					刃の鋭い、刃は鋭い
家計			かけい				彼女は家計のやり繰りに頭を抱えている
物資			ぶっし				公平に言って、彼は自分の限られた部下と物資で最善を尽くした
転校			てんこう			転校生は先生の鉛筆を削って機嫌を取った
手配			てはい				誰かお宅へ車で迎えに行くよう手配しておきましょうか
>呟く			つぶやく			嘀咕 叽歪 彼は学校に対する不満を呟いた　He muttered complaints against the school
>隠れる			かくれる			彼は戸の陰に隠れた
関税			かんぜい			
>博士			はかせ				
列				れつ				
作物			さくもつ			
食卓			しょくたく			
>流れ			ながれ				細水長流　なが　
多数決			たすうけつ			
審判			しんぱん			
生産			せいさん			
余分			よぶん				
>苦しい			くるしい			
>峰				みね				その峰は雲の上に聳（そび）えている
客観			きゃっかん			
>駆け足			かけあし			駆け足は速く走ること。 人間と馬などの動物に用いられる。
出来事			できごと			
				きつい				
>滑らか			すべらか			
遮光			しゃこう			武漢話　下課
特徴			とくちょう			
福祉			ふくし				
目眩			めまい				
日頃			ひごろ				
長々			ながなが			
静的			せいてき			
>肌				はだ				
>少女			おとめ				
要素			ようそ				
議論			ぎろん				
>床				とこ
				ジュース
号				ごう
原点			げんてん
出品			しゅっぴん
商人			しょうにん
				ぐっと
>杯				さかずき			
大衆			たいしゅう
正式			せいしき			
絶対			ぜったい
意思			いし
方々			ほうぼう
努力			どりょく
作曲			さっきょく
食欲			しょくよく
確実			かくじつ
圧迫			あっぱく
>歪む			ゆがむ
横切る			よこぎる
全盛			ぜんせい
>脇				わき
漢語			かんご
>宝				たから
>素				もと
戦闘			せんとう
密				みつ
誘惑			ゆうわく
和文			わぶん
日常			にちじょう
飼育			しいく
団体			だんたい
>煩わしい		わずらわしい
広告			こうこく
浮力			ふりょく
				どうにか
気配			きはい
面倒			めんどう
>現す			あらわす
迷子			まいご
>握る			にぎる
>連れ			つれ
>然し			しかし
高速			こうそく
>其処ら			そこら
後者			こうしゃ
偉大			いだい
食物			しょくもつ
収容			しゅうよう
>腹				はら
>凌ぐ			しのぐ				endure to get over 夏の暑さを凌ぐ
収穫			しゅうかく			
駐車			ちゅうしゃ			
題				だい				
配慮			はいりょ			
活発			かっぱつ
				ボーイ
式				しき				
快適			かいてき			
通行			つうこう			
>欺く			あざむく			
>凝る			こごる
>勢い			いきおい			
豊作			ほうさく
母親			ははおや
退治			たいじ
発作			ほっさ
>自惚れ			うぬぼれ
有利			ゆうり
電子			でんし
>滑らか			なめらか
詰らない		つまらない
全快			ぜんかい
丸める			まるめる
>於				お
>基づく			もとづく
>取り除く		とりのぞく
>効く			きく
死亡			しぼう
>雄				おす
主張			しゅちょう
警告			けいこく
創刊			そうかん
人工			じんこう
税務署			ぜいむしょ
独身			どくしん
>敢えて			あえて
夜中			やちゅう
頑丈			がんじょう
辛い			つらい
塩				えん
姉妹			しまい
返る			かえる
主演			しゅえん
局				きょく
>是正			ぜせい
諸君			しょくん
>炎				ほのお
改定			かいてい
知恵			ちえ
>凝らす			こごらす
可愛がる		かわいがる 
嫁				よめ
>失う			うしなう
>雪崩			なだれ
光景			こうけい
粗末			そまつ
月日			がっぴ
>球				たま
>筈				はず
>叶う			かなう
				アプローチ
解決			かいけつ
性				せい
>省く			はぶく
				パイロット
有益			ゆうえき
護衛			ごえい
其処			そこ
筋肉			きんにく
物体ない		もったいない
>担う			になう
>吊るす			つるす
永久			えいきゅう
				パイプ
銀				ぎん
>激しい			はげしい
無念			むねん
棒				ぼう
お早う			おはよう
				メディア
駐車			ちゅうしゃ
>鋭い			するどい
高				たか
象				ぞう
呉れ呉れも		くれぐれも
使用			しよう
保証			ほしょう
機嫌			きげん
生命			せいめい
老衰			ろうすい
				さん
簡素			かんそ
>お襁褓			おむつ
家出			いえで
長期			ちょうき
				アンケート
				コード
其れで			それで
				アクセル
大人しい		おとなしい
修理			しゅうり
洒落る			しゃれる
症状			しょうじょう
衛生			えいせい
喜び			よろこび
頃				ころ
技師			ぎし
要求			ようきゅう
自覚			じかく
お互い			おたがい
子息			しそく
取り替え		とりかえ
前売り			まえうり
群がる			むらがる
				タイピスト
				ストレス
				グループ
物理			ぶつり
素っ気ない		そっけない
様子			ようす
>擽ぐったい		くすぐったい
速度			そくど
約				やく
でも			でも
>平均			ならし
				ハンガー
不調			ふちょう
>源				みなもと
区				く
大事			おおごと
>空く			すく
月				つき
仕組み			しくみ
>果ない			はかない
一人			いちにん
>試す			ためす
一致			いっち
>嚏				くしゃみ
				ドラマ
地位			ちい
				とんでもない
>微か			かすか
>咎める			とがめる
>唯				ただ
砂利			じゃり
並列			へいれつ
				ケース
>叶える			かなえる
>費やす			ついやす
>伴う			ともなう
>束			たば
通信			つうしん
有力			ゆうりょく
